GEOID,YEAR,state,PCPrate,pctOBESE,FI,MIDWIVESrate,OBGYNrate,rtTEENBIRTH,rtSTD,MHCENTERrate,MHPROVIDERrate,rtDRUGODMORTALITY,pctNoVehicle,pctRural,rtSocASSOC,pctHOUSE_DISTRESS,rtVIOLENTCR,segregation,Racialized_pov
20035,2022,Kansas,43.48330241187384,0.399,0.136,5.777341267548675,0.0,27.06040871,449.8,0.0,8.696660482374767,0.0,0.0615690168818272,0.3222136521403779,16.042167980000002,0.110947291,334.5772745,21.58084791,1.5597289851649598
20037,2022,Kansas,74.14983380209665,0.382,0.159,0.0,10.292831043178426,23.99395428,574.5,0.0,20.45512656609563,11.15238447,0.0881310894596988,0.4042896038228594,11.59256015,0.162736632,312.7050921,18.78118216,1.185150838960211
20039,2022,Kansas,0.0,0.352,0.146,0.0,0.0,0.0,141.5,0.0,0.0,0.0,0.0294561933534743,1.0,24.76123099,0.101010101,170.6484642,0.0,3.251807289823568
20041,2022,Kansas,43.33929248605017,0.373,0.133,0.0,0.0,19.3986421,319.5,0.0,0.0,0.0,0.0590914842464886,0.6336295283663704,23.28603921,0.120512821,152.553329,28.09923995,2.7996353229162145
20043,2022,Kansas,40.15526703252576,0.385,0.128,0.0,0.0,9.85915493,342.1,0.0,0.0,0.0,0.0482632541133455,0.7268133174791914,14.47368421,0.094214876,109.2896175,19.31946122,2.719516291568693
20045,2022,Kansas,96.3447634526612,0.29,0.128,8.1125371148573,17.84758165268606,7.523690513000001,647.0,0.0,2.513341655286814,12.28752816,0.0654974296945872,0.131608825644325,9.242673341,0.188249271,224.9513619,27.97085488,1.6145613747075984
20047,2022,Kansas,0.0,0.387,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481632653061224,1.0,14.29592566,0.042307692,128.98470609999998,13.63540746,3.7271823570560727
20049,2022,Kansas,40.96681687832856,0.391,0.164,0.0,0.0,21.50537634,0.0,0.0,0.0,0.0,0.051556420233463,1.0,15.81027668,0.067264574,0.0,0.0,0.9891971070218806
20051,2022,Kansas,65.9951372004168,0.359,0.124,0.0,34.86507217069939,12.81168205,518.3000000000001,0.0,3.473428273706148,0.0,0.0379662150861348,0.2454807838371563,9.80632508,0.120034542,293.7084557,36.42511361,2.940740972945554
20053,2022,Kansas,31.565656565656568,0.377,0.113,0.0,0.0,12.08791209,98.3,0.0,0.0,0.0,0.0399132321041214,1.0,22.94329728,0.099593496,98.21253192,2.534969755,1.6354923502055674
20055,2022,Kansas,57.7321751909098,0.398,0.091,0.0,11.457378551787352,37.90849673,850.1,0.0,7.872569344214973,13.76209918,0.0626679978496275,0.1908353894959464,10.6946006,0.177458034,495.2699694,26.26977192,2.266405856140176
20057,2022,Kansas,46.839778682045726,0.43,0.096,6.275888038157399,12.551776076314798,50.52077098,508.6,0.0,5.854972335255716,0.0,0.0475334018499486,0.2149003984063745,8.626074541000001,0.154323725,367.0173722,20.86811139,2.910481728327845
20059,2022,Kansas,42.33048564611714,0.362,0.117,0.0,0.0,25.08722379,391.5,0.0,0.0,13.00762247,0.0403534609720176,0.5089245672257602,11.74444097,0.104208417,311.3008066,24.00212028,1.90549800508752
20061,2022,Kansas,41.74319585907497,0.366,0.14,26.25533311453889,13.127666557269444,63.67360874,1926.1,0.0,2.7828797239383314,11.40109036,0.0408525754884547,0.114138623807132,7.893905905,0.179145433,484.2099662,17.18452671,1.6626603246360725
20063,2022,Kansas,217.7858439201452,0.345,0.117,0.0,0.0,0.0,151.70000000000002,0.0,0.0,0.0,0.0135363790186125,1.0,30.34901366,0.090909091,0.0,0.0,6.071428571428572
20065,2022,Kansas,83.33333333333334,0.383,0.114,0.0,0.0,0.0,322.3,0.0,0.0,0.0,0.0416666666666666,1.0,24.17405318,0.090534979,115.8301158,0.0,3.792902382627928
